Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Justin Johnson (13041628),Justin Johnson,13041628,TE/FLEX,2500,CIN@SEA 09/08/2019 04:05PM ET,SEA,0
TE,Dan Godsil (13041742),Dan Godsil,13041742,TE/FLEX,2500,CIN@SEA 09/08/2019 04:05PM ET,CIN,0
TE,Moritz Boehringer (13041779),Moritz Boehringer,13041779,TE/FLEX,2500,CIN@SEA 09/08/2019 04:05PM ET,CIN,0
TE,Logan Thomas (13040752),Logan Thomas,13040752,TE/FLEX,2500,DET@ARI 09/08/2019 04:25PM ET,DET,1.69
TE,Jerome Cunningham (13040766),Jerome Cunningham,13040766,TE/FLEX,2500,DET@ARI 09/08/2019 04:25PM ET,DET,0
TE,Austin Traylor (13040937),Austin Traylor,13040937,TE/FLEX,2500,DET@ARI 09/08/2019 04:25PM ET,DET,0
TE,Maxx Williams (13040987),Maxx Williams,13040987,TE/FLEX,2500,DET@ARI 09/08/2019 04:25PM ET,ARI,2.78
TE,Jesse James (13040991),Jesse James,13040991,TE/FLEX,2500,DET@ARI 09/08/2019 04:25PM ET,DET,5.46
TE,Darrell Daniels (13041248),Darrell Daniels,13041248,TE/FLEX,2500,DET@ARI 09/08/2019 04:25PM ET,ARI,0
TE,Drew Belcher (13041404),Drew Belcher,13041404,TE/FLEX,2500,DET@ARI 09/08/2019 04:25PM ET,ARI,0
TE,Isaac Nauta (13041775),Isaac Nauta,13041775,TE/FLEX,2500,DET@ARI 09/08/2019 04:25PM ET,DET,0
TE,Caleb Wilson (13041803),Caleb Wilson,13041803,TE/FLEX,2500,DET@ARI 09/08/2019 04:25PM ET,ARI,0
TE,Rhett Ellison (13040650),Rhett Ellison,13040650,TE/FLEX,2500,NYG@DAL 09/08/2019 04:25PM ET,NYG,4.3
TE,Scott Simonson (13040847),Scott Simonson,13040847,TE/FLEX,2500,NYG@DAL 09/08/2019 04:25PM ET,NYG,1.48
TE,Dalton Schultz (13041408),Dalton Schultz,13041408,TE/FLEX,2500,NYG@DAL 09/08/2019 04:25PM ET,DAL,2.05
TE,Garrett Dickerson (13041416),Garrett Dickerson,13041416,TE/FLEX,2500,NYG@DAL 09/08/2019 04:25PM ET,NYG,0
TE,C.J. Conrad (13041610),C.J. Conrad,13041610,TE/FLEX,2500,NYG@DAL 09/08/2019 04:25PM ET,NYG,0
